"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"15","SumDiDP","female","0.299 [ -0.091 ; 0.689 ]   -","0.149 [ -0.425 ; 0.724 ]   -","0.239 [ -0.443 ; 0.921 ]   -","-0.042 [ -0.422 ; 0.337 ]   -","0.284 [ -0.142 ; 0.71 ]   -","0.645 [ -0.789 ; 2.079 ]   -","0.107 [ -0.691 ; 0.904 ]   -","0.538 [ -0.353 ; 1.43 ]   -"
"16","SumDiDP","male","0.228 [ -0.176 ; 0.631 ]   -","-0.22 [ -0.734 ; 0.293 ]   -","0.294 [ -0.454 ; 1.043 ]   -","-0.086 [ -0.585 ; 0.414 ]   -","-0.08 [ -0.579 ; 0.418 ]   -","0.216 [ -1.258 ; 1.69 ]   -","-0.306 [ -1.165 ; 0.552 ]   -","0.522 [ -0.492 ; 1.536 ]   -"
"17","BPA","female","0.141 [ -0.248 ; 0.53 ]   -","0.327 [ -0.242 ; 0.897 ]   -","0.393 [ -0.284 ; 1.069 ]   -","-0.03 [ -0.407 ; 0.348 ]   -","-0.007 [ -0.433 ; 0.418 ]   -","0.831 [ -0.592 ; 2.255 ]   -","0.297 [ -0.494 ; 1.089 ]   -","0.534 [ -0.352 ; 1.42 ]   -"
"18","BPA","male","0.154 [ -0.25 ; 0.559 ]   -","0.542 [ 0.034 ; 1.05 ]   **","0.309 [ -0.44 ; 1.059 ]   -","0.075 [ -0.421 ; 0.57 ]   -","0.141 [ -0.357 ; 0.639 ]   -","1.08 [ -0.386 ; 2.547 ]   -","0.616 [ -0.233 ; 1.466 ]   -","0.464 [ -0.552 ; 1.48 ]   -"
"19","BPF","female","0.328 [ -0.214 ; 0.871 ]   -","-0.368 [ -1.273 ; 0.538 ]   -","-0.03 [ -1.128 ; 1.068 ]   -","-0.581 [ -1.104 ; -0.058 ]   **","-0.07 [ -0.755 ; 0.616 ]   -","-0.651 [ -2.717 ; 1.415 ]   -","-0.949 [ -2.105 ; 0.207 ]   -","0.298 [ -1.04 ; 1.637 ]   -"
"20","BPF","male","0.355 [ -0.458 ; 1.168 ]   -","1.242 [ 0.255 ; 2.229 ]   **","0.442 [ -0.997 ; 1.881 ]   -","0.658 [ -0.243 ; 1.56 ]   -","-0.194 [ -1.255 ; 0.867 ]   -","2.698 [ -0.185 ; 5.581 ]   *","1.9 [ 0.32 ; 3.48 ]   **","0.797 [ -1.194 ; 2.787 ]   -"
"21","SumDEHTP","female","0.317 [ -0.278 ; 0.913 ]   -","-0.254 [ -1.248 ; 0.74 ]   -","-0.196 [ -1.389 ; 0.998 ]   -","-0.237 [ -0.825 ; 0.35 ]   -","0.341 [ -0.384 ; 1.065 ]   -","-0.37 [ -2.666 ; 1.926 ]   -","-0.491 [ -1.79 ; 0.807 ]   -","0.121 [ -1.347 ; 1.589 ]   -"
"22","SumDEHTP","male","0.715 [ 0.007 ; 1.423 ]   *","0.017 [ -0.908 ; 0.943 ]   -","1.078 [ -0.199 ; 2.354 ]   -","-0.128 [ -0.944 ; 0.687 ]   -","0.889 [ -0.027 ; 1.805 ]   *","1.683 [ -0.924 ; 4.29 ]   -","-0.111 [ -1.581 ; 1.358 ]   -","1.793 [ 0.067 ; 3.518 ]   **"
"23","SumDINCH","female","-0.034 [ -0.641 ; 0.573 ]   -","-0.288 [ -1.288 ; 0.711 ]   -","-0.445 [ -1.641 ; 0.751 ]   -","-0.397 [ -0.982 ; 0.187 ]   -","0.199 [ -0.535 ; 0.932 ]   -","-1.164 [ -3.453 ; 1.124 ]   -","-0.686 [ -1.985 ; 0.614 ]   -","-0.478 [ -1.95 ; 0.994 ]   -"
"24","SumDINCH","male","0.121 [ -0.571 ; 0.813 ]   -","0.375 [ -0.497 ; 1.246 ]   -","-0.767 [ -1.988 ; 0.454 ]   -","-0.107 [ -0.88 ; 0.665 ]   -","-0.543 [ -1.426 ; 0.34 ]   -","-0.38 [ -2.88 ; 2.121 ]   -","0.267 [ -1.123 ; 1.658 ]   -","-0.646 [ -2.33 ; 1.037 ]   -"
