"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"11","SumDEHP","female","0.337 [ -0.062 ; 0.735 ]   *","0.326 [ -0.254 ; 0.905 ]   -","0.073 [ -0.621 ; 0.768 ]   -","-0.056 [ -0.44 ; 0.329 ]   -","0.129 [ -0.307 ; 0.565 ]   -","0.68 [ -0.779 ; 2.139 ]   -","0.27 [ -0.536 ; 1.076 ]   -","0.41 [ -0.503 ; 1.323 ]   -"
"12","SumDEHP","male","0.258 [ -0.146 ; 0.662 ]   -","-0.13 [ -0.648 ; 0.389 ]   -","0.566 [ -0.187 ; 1.318 ]   -","-0.12 [ -0.619 ; 0.378 ]   -","0.094 [ -0.409 ; 0.598 ]   -","0.573 [ -0.905 ; 2.052 ]   -","-0.25 [ -1.111 ; 0.61 ]   -","0.824 [ -0.189 ; 1.836 ]   -"
"13","SumDiNP","female","0.309 [ -0.077 ; 0.695 ]   -","0.274 [ -0.287 ; 0.835 ]   -","-0.034 [ -0.706 ; 0.639 ]   -","-0.045 [ -0.417 ; 0.327 ]   -","0.095 [ -0.327 ; 0.517 ]   -","0.505 [ -0.909 ; 1.918 ]   -","0.229 [ -0.551 ; 1.01 ]   -","0.275 [ -0.61 ; 1.16 ]   -"
"14","SumDiNP","male","0.155 [ -0.246 ; 0.557 ]   -","0.02 [ -0.495 ; 0.536 ]   -","0.1 [ -0.651 ; 0.852 ]   -","0.031 [ -0.465 ; 0.526 ]   -","-0.137 [ -0.637 ; 0.362 ]   -","0.306 [ -1.163 ; 1.776 ]   -","0.051 [ -0.804 ; 0.906 ]   -","0.256 [ -0.756 ; 1.267 ]   -"
"15","SumDiDP","female","0.291 [ -0.1 ; 0.682 ]   -","0.159 [ -0.41 ; 0.728 ]   -","0.227 [ -0.452 ; 0.907 ]   -","-0.045 [ -0.422 ; 0.331 ]   -","0.301 [ -0.124 ; 0.726 ]   -","0.632 [ -0.798 ; 2.061 ]   -","0.113 [ -0.676 ; 0.903 ]   -","0.518 [ -0.375 ; 1.411 ]   -"
"16","SumDiDP","male","0.216 [ -0.185 ; 0.616 ]   -","-0.223 [ -0.736 ; 0.289 ]   -","0.328 [ -0.42 ; 1.076 ]   -","-0.069 [ -0.563 ; 0.425 ]   -","-0.092 [ -0.59 ; 0.406 ]   -","0.251 [ -1.214 ; 1.717 ]   -","-0.292 [ -1.143 ; 0.559 ]   -","0.543 [ -0.462 ; 1.549 ]   -"
"17","BPA","female","0.142 [ -0.249 ; 0.532 ]   -","0.327 [ -0.238 ; 0.892 ]   -","0.406 [ -0.27 ; 1.081 ]   -","-0.034 [ -0.409 ; 0.341 ]   -","-0.016 [ -0.441 ; 0.41 ]   -","0.84 [ -0.581 ; 2.262 ]   -","0.293 [ -0.493 ; 1.079 ]   -","0.547 [ -0.342 ; 1.436 ]   -"
"18","BPA","male","0.185 [ -0.206 ; 0.577 ]   -","0.464 [ -0.034 ; 0.961 ]   *","0.14 [ -0.595 ; 0.874 ]   -","0.06 [ -0.419 ; 0.538 ]   -","0.218 [ -0.268 ; 0.704 ]   -","0.848 [ -0.581 ; 2.277 ]   -","0.523 [ -0.302 ; 1.348 ]   -","0.325 [ -0.663 ; 1.313 ]   -"
"19","BPF","female","0.33 [ -0.197 ; 0.858 ]   -","-0.364 [ -1.244 ; 0.516 ]   -","-0.036 [ -1.107 ; 1.035 ]   -","-0.575 [ -1.092 ; -0.057 ]   **","-0.073 [ -0.768 ; 0.621 ]   -","-0.645 [ -2.652 ; 1.361 ]   -","-0.939 [ -2.072 ; 0.194 ]   -","0.294 [ -1.005 ; 1.593 ]   -"
"20","BPF","male","0.291 [ -0.443 ; 1.026 ]   -","1.33 [ 0.433 ; 2.226 ]   **","0.543 [ -0.749 ; 1.836 ]   -","0.931 [ 0.103 ; 1.758 ]   **","-0.117 [ -1.078 ; 0.844 ]   -","3.096 [ 0.49 ; 5.702 ]   **","2.261 [ 0.823 ; 3.699 ]   **","0.835 [ -0.951 ; 2.62 ]   -"
"21","SumDEHTP","female","0.307 [ -0.268 ; 0.883 ]   -","-0.259 [ -1.214 ; 0.697 ]   -","-0.146 [ -1.299 ; 1.007 ]   -","-0.249 [ -0.822 ; 0.324 ]   -","0.431 [ -0.292 ; 1.153 ]   -","-0.347 [ -2.553 ; 1.859 ]   -","-0.508 [ -1.764 ; 0.748 ]   -","0.161 [ -1.249 ; 1.572 ]   -"
"22","SumDEHTP","male","0.753 [ 0.061 ; 1.445 ]   **","-0.016 [ -0.948 ; 0.916 ]   -","0.99 [ -0.273 ; 2.253 ]   -","-0.218 [ -1.046 ; 0.61 ]   -","0.906 [ 0.009 ; 1.803 ]   *","1.509 [ -1.114 ; 4.132 ]   -","-0.235 [ -1.737 ; 1.267 ]   -","1.743 [ 0.056 ; 3.429 ]   **"
"23","SumDINCH","female","-0.012 [ -0.599 ; 0.575 ]   -","-0.283 [ -1.245 ; 0.68 ]   -","-0.499 [ -1.654 ; 0.656 ]   -","-0.374 [ -0.946 ; 0.198 ]   -","0.138 [ -0.599 ; 0.876 ]   -","-1.168 [ -3.37 ; 1.034 ]   -","-0.657 [ -1.918 ; 0.604 ]   -","-0.511 [ -1.926 ; 0.904 ]   -"
"24","SumDINCH","male","0.118 [ -0.565 ; 0.801 ]   -","0.431 [ -0.45 ; 1.313 ]   -","-0.714 [ -1.926 ; 0.499 ]   -","-0.056 [ -0.846 ; 0.734 ]   -","-0.522 [ -1.394 ; 0.349 ]   -","-0.221 [ -2.745 ; 2.303 ]   -","0.375 [ -1.053 ; 1.804 ]   -","-0.596 [ -2.249 ; 1.057 ]   -"
